citation,label
"Moreover, these studies were carried out on a small sample size (366_390 cases) and they showed very discrepant results [ |CR18|, |CR19| ].",CC
"Most recently, (Suzuki and Isozaki, 2008) published their Semi-supervised sequential labelling method, whose results on POS tagging seem to be optically better than (Shen et al., 2007), but no significance tests were given and the tool is not available for download, i.e. for repeating the results and significance testing.",CC
"Of the six selected studies, we excluded the Dukes 50-gene predictor because the original paper was retracted |pone.0060778-Garman1|, |pone.0060778-Garman2|.",NC
"Only one randomised controlled trial was found, titled ?Effects of Omega-3 Polyunsaturated Fatty Acids on Inflammatory Markers in COPD? by Matsuyama et al., published in the journal Chest in 2005 [6]. This study purported to supplement the diet of 64 COPD patients with an omega-3 PUFA or an omega-6 PUFA supplement for two years, and reported significant improvements in the omega-3 PUFA group in the 6 min walk test, perceived rate of exertion (Borg score) and arterial oxygen saturation (pulse oximetry (SpO2)). The study also reported a decrease in sputum cytokines (inflammatory regulators) in the group receiving omega-3 PUFA with no change in the omega-6 PUFA group. The study concluded that ?nutritional support with an omega-3 PUFA-rich diet is a safe and practical method for treating COPD? [6]. This paper was retracted by the journal in 2008 [7], following an institutional investigation that found data had been falsified by the lead author.",CC
"Pang et al. (2002) did not compare the result of using and not using the negation context effect, so it is not clear how much it improved their result",NC
"Probabilistic LR parsing has been investigated in the literature ( Wright and Wrigley, 1991 ; Briscoe and Carroll, 1993 ; Inui et al., 2000 ) under the assumption that it would allow more fine-grained probability distributions than the underlying PCFGs . However, this is not the case in general.",CC
"Ratnaparkhi (1996: 134) suggests use of an approximation summing over the training data, which does not sum over possible tags: "" h E f j = 2 P( ~)p(ti l hi)f j(hi,ti) i=1. However, we believe this passage is in error: such an estimate is ineffective in the iterative scaling algorithm.",NC
"Resnik (1993) initiated research into the automatic acquisition of semantic selectional restrictions. Ribas (1994) presented an approach which takes into account the syntactic position of the elements whose semantic relation is to be acquired. However, those and most of the following approaches require as a prerequisite a fixed taxonomy of semantic relations. This is a problem because (i) entailment hierarchies are presently available for few languages, and (ii) we regard it as an open question whether and to what degree existing designs for lexical hierarchies are appropriate for representing lexical meaning.",CC
"Section 5 presents an error analysis for Collinss (1997) lexicalized model, which shows that the head-head dependencies used in this model fail to cope well with the flat structures in Negra.",CC
"Several studies have shown that large-margin methods can be adapted to the special complexities of the task (Liang et al., 2006; Tillmann and Zhang, 2006; Cowan et al., 2006) . However, the capacity of these algorithms to improve over state-of-the-art baselines is currently limited by their lack of robust dimensionality reduction.",NC
"Some of these trials did not meet the quality measures expected from proof-of-principal studies and were retracted [ |B24-jcm-03-00197|, |B27-jcm-03-00197| ].",CC
"Some other recent work has focused on the problem of implicit citation extraction (Kaplan et al., 2009; Qazvinian and Radev, 2010). Kaplan et al. (2009) explore co-reference chains for citation extraction using a combination of co-reference resolution techniques (Soon et al., 2001; Ng and Cardie, 2002). However, the corpus that they use consists of only 94 citations to 4 papers and is likely to be too small to be representative.",CC
"State-of-the-art citations identification mechanisms focus either on detecting explicit citations i.e. those that consist of either the author names and the year of publication or bracketed numbers only, or include a small sentence window around the explicit citation as input text (Councill et al., 2008; Radev et al., 2009; Ritchie et al., 2008). The assumption behind this approach is that all related mentions of the paper would be concentrated in the immediate vicinity of the anchor text. However, this assumption does not generally hold true (Teufel, 2010; Sugiyama et al., 2010).",CC
"Although initial reports suggested an association between the EWS/FLI-1 type 1 translocation and response in Ewing's sarcoma [|B73|], the purported predictive value of translocation type has not been observed consistently [|B72|, |B75|, |B78|].",CC
"Such resources exist for Hebrew ( ), but unfortunately use a tagging scheme which is incompatible with the one of the Hebrew Treebank.",NC
"Table 2: Figures about clustering algorithms Algorithm # Sentences/# Clusters S-HAC 6,23 C-HAC 2,17 QT 2,32 EM 4,16 In fact, table 2 shows that most of the clusters have less than 6 sentences which leads to question the results presented by (Barzilay & Lee, 2003) who only keep the clusters that contain more than 10 sentences.",CC
"The Afirst experiments in Argumentative Zoning used Native Bayes (NB) classifiers (Kupiec et al., 1995; Teufel, 1999) which assume conditional independence of the features. However, this assumption is rarely true for the kinds of rich feature representations we want to use for most NLP tasks.",CC
"The authors also claim [14, Thm. 3] that ? satisfies the separation property on the subclass of reduced reconstructible phylogenetic networks (that is, of reconstructible phylogenetic networks that remain untouched under the reduction procedure). This is also wrong.",CC
"The identification of named entities (NEs) in the biomedical area, such as proteins and CELLS, has been extensively explored; e.g., Lee et al. (2003), Shen et al. (2003). However, we are not aware of any satisfactory solution that focuses on the recognition of semantic classes such as medication and disease.",NC
The most recent example is xenotropic murine leukemia virus-related virus (XMRV) which was claimed to be present in 67% of cases with CFS and 3.7% of controls [ |B8| ] but did not replicate in multiple independent samples [ |B9| ].,CC
"The most relevant work is by Qazvinian and Radev (2010) who extract only the non-explicit citations for a given paper. They model each sentence as a node in a graph and experiment with various window boundaries to create edges between neighbouring nodes. However, their dataset consists of only 10 papers and their annotation scheme differs from our four-class annotation as they do not deal with any sentiment.",CC
"Although such an approach was applied with some success in a limited-domain system translating logical forms into database queries Rayner and Alshawi 1992, it is likely to be impractical for language translation with tens of thousands of sense predicates and related axioms .",CC
"The Ohio State University Office of Research Compliance notified PLOS ONE that the institution investigated the work reported in this article [ |pone.0202299.ref001| ] and found evidence of data falsification in Figures 1B, 3A, and 3B.",CC
"the only recent work on citation sentiment detection using a relatively large corpus is by Athar (2011). However, this work does not handle citation context.",NC
"The work of Gallegos-Ayala and colleagues [ |pbio.2004750.ref004| ] is the precursor study to the work by Chaudhary and colleagues [ |pbio.2004750.ref005| ], uses the same approach and the same patient (patient F), and therefore can also be doubted.",CC
"There were also a number of complications when comparing our system with the system described by Dakka and Cucerzan (2008): they used a different, and substantially smaller, hand-labelled data set; they did not specify how they handled disambiguation pages; they provided no results for experiments using only hand-labelled data, instead incorporating training data produced via their semi-automated approach into the final results; and they neglected to report the final size of the training data produced by their semi-automated annotation. However, these two systems provided the closest benchmarks for comparison.",CC
"This finding correlates closely with that of Male et al. (2009) and Evans (2010), in which working professionals indicated that reading and writing English were of high importance, but contradicts those of Kassim and Ali (2010) who reported a need to emphasize oral skills. More specifically, the productive skill of writing requires particular attention as instruction and feedback play important roles in the improvement of this skill.",NC
"Although Thr435 had been identified as a putative phosphorylation site in the TAD of RelA, subject to dephosphorylation by PP4, this had relied on in vitro phosphorylation assays, and no analysis of modification in cells was performed [|B27|].",CC
This finding is in contrast to the majority of studies regarding the effect of miR-143 on proliferation [ |pone.0186658.ref015| _ |pone.0186658.ref019| ].,CC
This finding stands in contrast to the negative results of a previous study that used a similar recombinant Melan-A protein to screen 100 serum samples from melanoma patients (33).,CC
"Turneys method did not work well although they reported 80% accuracy in (Turney and Littman, 2002).",CC
"Unfortunately, this study is currently called into question, and the merits of this particular method must be reevaluated ( |B14| ).",CC
We do not agree with the methodology of using a training set without MCI to select biomarkers to dfferentiate between AD and MCI [1].,CC
"We have been made aware that the title paper [ |B1-ijms-17-01021| ] contains text taken verbatim from previously published articles by Shyi-Jou Chen et al [ |B2-ijms-17-01021| ] and Ghislain Opdenakker and Jo Van Damme [ |B3-ijms-17-01021| ]. MDPI is a member of the Committee on Publication Ethics and takes the responsibility to enforce strict ethical policies and standards very seriously. To ensure the addition of only high quality scientific works to the field of scholarly publication, paper [1] is retracted and shall be marked accordingly. We apologize to our readership that this went undetected until now.",NC
"Wilson, Wiebe, and Hwa (2004) used SVM regression to classify clause-level strength of opinion, reporting that it provided lower accuracy than other methods. However, independently of our work, Koppel and Schler (2005) found that applying linear regression to classify documents (in a different corpus than ours) with respect to a three-point rating scale provided greater accuracy than OVA SVMs and other algorithms.",CC
"XXX (2006) tried a different generative phrase translation model analogous to IBM word-translation Model 3 (Brown et al., 1993), and again found that the standard model outperformed their generative model.",NC
"Zhang et al recently found that STAT3 could bind promoter region of TXNDC17 and up-regulated its expression, mediating Taxol resistance via enhancing autophagy in human colorectal cancer cells [ |R28| ], which may be also involved in the mechanism of chemoresistance in BC patients, whereas Bui et al found that Notch4/STAT3 signaling induced the epithelial-mesenchymal transition in tamoxifen-resistant human breast cancer, increasing micrometastatic tumor burden [ |R29| ].",CC
"(Hu and Liu, 2004) doesn't assess candidate features, so its precision is lower than opine's. (Kobayashi et al., 2004) employs an iterative semi-automatic approach which requires human input at every iteration. Neither model explicitly addresses composite (feature of feature) or implicit features.",NC
"(Vogel et al., 1996) report better perplexity results on the Verbmobil Corpus with their HMM based alignment model in comparison to Model 2 of (Brown et al., 1993).",NC
[|B33|] is however so circumstantial that even the authors of this work never claimed that XoxFJG encoded a methanol dehydrogenase.,NC
"A huge variety of words and phrases have subjective usages, and while some manually developed resources exist, such as dictionaries of affective language (General-Inquirer 2000; Heise 2000) and subjective features in general-purpose lexicons (e.g., the attitude adverb features in Comlex [Macleod, Grishman, and Meyers 1998]), there is no comprehensive dictionary of subjective language.",NC
"A more recent attempt can be found in THINKER Edgar and Pelletier 1993, which implements several interesting but isolated proof presentation strategies, without giving a comprehensive underlying model .",NC
"the only recent work on citation sentiment detection using a relatively large corpus is by Athar (2011). However, this work does not handle citation context.",NC
"A number of studies have investigated sentiment classification at document level, e.g., (Pang et al., 2002; Dave et al., 2003), and at sentence level, e.g., (Hu and Liu, 2004; Kim and Hovy, 2004; Nigam and Hurst, 2005); however, the accuracy is still less than desirable.",NC
"A previous study disproved the significance of BT in melanoma cells ( |b8-ol-0-0-7575| ); however, subsequent studies have demonstrated the anticancer activity of BT in a number of types of human cancer including neuroblastoma ( |b9-ol-0-0-7575| ), colon ( |b10-ol-0-0-7575| ), breast ( |b11-ol-0-0-7575| ), hepatocellular ( |b12-ol-0-0-7575| ), lung ( |b13-ol-0-0-7575| ), prostate ( |b14-ol-0-0-7575| ), renal cell ( |b15-ol-0-0-7575| ) and ovarian ( |b16-ol-0-0-7575| ).",NC
"A range of formalisms from Underspecified DRT (Reyle, 1993) to dominance graphs (Althaus et al., 2003) have offered mechanisms to specify the ?semantic material? of which the semantic representations are built up, plus dominance or outscoping relations between these building blocks. This has been a very successful approach, but recent algorithms for eliminating subsets of readings have pushed the expressive power of these formalisms to their limits; for instance, Koller and Thater (2006) speculate that further improvements over their (incomplete) redundancy elimination algorithm require a more expressive formalism than dominance graphs.",NC
"A recent egregious example is the now-withdrawn rodent study by Seralini et al [ |CR65| ] demonstrating tumors and early death in rats_a study not just published but _launched_ with a press event, book publication, and videos in three languages.",CC
"A recent interesting study published in Scientometrics has evaluated the changing dynamics of climate change-related research publications via a bibliometric analysis and further probed the relationship between climate change-related research output and carbon dioxide emissions (de Gouveia & Inglesi-Lotz, 2021). Although it is an impressive study, we believe there is room for improvement in the bibliometric analysis section of that research.",NC
"A similar framework appears in [27], [28]. We improve it by using prior knowledge, indirectly learned from the frame-level user labels.",NC
"A small number of retrospective case-control studies or case series have described the possible role of opium in oesophageal cancer,|ref3| |ref4| bladder cancer,|ref5| |ref6| |ref7| coronary heart disease,|ref8| |ref9| |ref10| |ref11| and a few other select health conditions.|ref12| |ref13| |ref14| There is little information from well designed prospective epidemiological studies on the effect of the use of opium on overall or cause specific mortality, partly because of relatively low opium use in most established cohort studies and the difficulty of obtaining validated data.",CC
"A system of elements usually referred to as 'honorifics' or 'reverentials' is reported by all the grammarians of Classical Nahuatl (cf. Olmos 1547, Molina 1571a, Carochi 1645, Simeon 1885, Garibay 1970, Anderson 1973, Andrews 1975). Similar systems are reported for several modern varieties of Nahuatl (cf. Whorf 1946 for Milpa Alta in the Federal District; Pittman 1948 for Tetelcingo in Morelos; and Buchler and Freeze 1966 and Buchler 1967 for Hueyapan and Atempan in northern Puebla). None of those reports, except for Pittman's, describes the system in much details.",NC
"Because manual annotation is prohibitively expensive, approaches based on light supervision are now emerging for the task, including those based on active learning and self-training (Guo et al., 2011) and unsupervised methods (Varga et al., 2012; Reichart and Korhonen, 2012). Unfortunately, these approaches do not reach the performance level of fully supervised models, let alone exceed it.",CC
"Because synthetic peptides were reported to be assembled on GO surfaces with certain affinity,3e,3f we initially prepared a noncovalent complex of GO?peptide by using a simple self-assembly procedure: incubation of peptides with GO to allow self-assembly of the peptides on GO surfaces. However, we found that such a GO?peptide composite showed substantially enhanced fluorescence upon incubation with cell growth medium (Figure S1 in the Supporting Information).",CC
"A vast majority did not specify the exact age [ |pone.0118296.ref024| _ |pone.0118296.ref029|, |pone.0118296.ref033|, |pone.0118296.ref037| _ |pone.0118296.ref039|, |pone.0118296.ref041| _ |pone.0118296.ref043|, |pone.0118296.ref045|, |pone.0118296.ref046|, |pone.0118296.ref050| _ |pone.0118296.ref052|, |pone.0118296.ref058|, |pone.0118296.ref060|, |pone.0118296.ref063|, |pone.0118296.ref065|, |pone.0118296.ref069|, |pone.0118296.ref071|, |pone.0118296.ref075| ].",NC
"A well-known example of an expert system for this task is the CONSTRUE system [Hayes et al. 1990] used by the Reuters news service. ? While these are exceptionally good results, the test set seems to have been relatively sparse when compared to the number of possible topics.",NC
"A word based approach depends upon traditional statistical machine translation techniques such as IBM Model1 (Brown et al., 1993) and may not always yield satisfactory results due to its inability to handle difficult many-to-many phrase translations.",NC
"A word order correlation bias, as well as the phrase structure biases in Brown et al.'s (1993b) Models 4 and 5, would be less beneficial with noisier training bitexts or for language pairs with less similar word order.",NC
"Abnormal CASC2 expression has been reported in diverse human cancers and play a role in regulating the progression of various cancers, including bladder cancer |B17|, renal cell carcinoma |B18|, esophageal carcinoma |B19| and etc Besides, plentiful studies have demonstrated that CASC2 aberrant expression is associated with prognosis of human tumors |B20| - |B30|. However, a large proportion of individual studies are so confined in discrete and inconsonant outcome as well as small sample size.",NC
"According to previous studies, 5-AZA causes poor viability, increased apoptosis and cell cycle arrest in various colorectal cancer cell lines ( |b9-mmr-16-04-5347| _ |b14-mmr-16-04-5347| ), which is in contrast to the results of the current study.",NC
"Again the best result was obtained with IOB1 (F~=I =92.37) which is an imI)rovement of the best reported F,~=1 rate for this data set ((Ramshaw and Marcus, 1995): 92.03).",NC
Agrawal et al. (2003) partition newsgroup authors into camps based on quotation links. They do not attempt to recognize subjective language.,NC
"Although a rich literature covers bootstrapping methods applied to natural language problems (Yarowsky, 1995; Riloff, 1996; Collins and Singer, 1999; Yangarber et al., 2000; Yangarber, 2003; Abney, 2004) several questions remain unanswered when these methods are applied to syntactic or semantic pattern acquisition.",NC
"Although bezafibrate was reported to increase COX activity and ameliorate the disease phenotype in a muscle-specific Cox10 knockout mouse ( |aww081-B108| ), this observation has been retracted.",CC
"Although dependency relations have been widely used in automatic acquisition of lexical information, such as detection of polysemy ( ) and WSD ( ), their utility in AVC still remains untested.",NC
"Although evaluated on a different test set, our method also outperforms the correlation with human scores reported in Liu and Gildea (2005).",NC
"by taking a semi-supervised graph-based learning approach (Goldberg and Zhu, 2006); and by using ""optimal stacks"" of SVMs (Koppel and Schler, 2006). However, each of these methods have shortcomings (Section 2).",CC
"Although generating training examples in advance without a working parser (Sagae & Lavie, 2005) is much faster than using inference (Collins & Roark, 2004; Henderson, 2004; Taskar et al., 2004), our training time can probably be decreased further by choosing a parsing strategy with a lower branching factor.",NC
"Cass is an efficient method to construct a phylogenetic network for any input trees, and is able to construct much simpler networks than other available methods (Van Iersel et al., 2010). But Cass usually constructs some different networks for the same dataset when it is input as different orders. The phylogenetic network constructed by Cass represents lots of redundant information except for the original information. Both factors considered it is obvious that Cass has poor practical application.",CC
Chiang (2005) introduced a constituent feature to reward phrases that match a syntactic tree but did not yield significant improvement.,CC
"Choe et al. [7] combined mesh chartification with a single-rate mesh compression technique to provide a framework for random accessible mesh compression. Kim et al. [35] introduced multiresolution random accessible mesh compression (MRAMC), where the vertex hierarchy of a multiresolution mesh is encoded in the way that supports progressive decoding of selected mesh parts. However, these techniques assume that the entire given mesh resides in the main memory both in the encoding and decoding stages, and the scalability of the approaches has not been provided.",CC
"Church et al. (1989), Wettler & Rapp (1989) and Church & Hanks (1990) describe algorithms which do this. However, the validity of these algorithms has not been tested by systematic comparisons with associations ofhuman subjects.",CC
"Although generating training examples in advance without a working parser (Turian & Melamed, 2005) is much faster than using inference (Collins & Roark, 2004; Henderson, 2004; Taskar et al., 2004), our training time can probably be decreased further by choosing a parsing strategy with a lower branching factor.",NC
"Although his system attained F = 83.7% for 5-fold cross-validation of the CRL data (Yamada and Matsumoto, 2001), our system attained 86.8%.",NC
"Although it is well known that in vitro demonstrations of allelopathic activity of a chemical can rarely be applied to field situation, the most recent studies published in high profile journals |pone.0004700-Bais1|, |pone.0004700-Vivanco1|, |pone.0004700-Tharayil1|, |pone.0004700-Bertin1|, |pone.0004700-Bais2| still based their conclusions on in vitro experiments.",NC
"Although ITA rates and system performance both significantly improve with coarse-grained senses (Duffield et al., 2007; Navigli, 2006), the question about what level of granularity is needed remains.",NC
"Although one study [ |B27| ] showed improvement, it was only with combined supplementation of omega-3 FA, vitamin C, and Zn; there was no significant improvement on mono supplementation with either of them.",NC
"Although previous work (Yarowsky, 1995; Blum and Mitchell, 1998; Abney, 2000; Zhang, 2004) has tackled the bootstrapping approach from both the theoretical and practical point of view, many key problems still remain unresolved, such as the selection of initial seed set.",NC
"Although Sanchez-Graillet & Poesio (2007) propose a multi-dimensional annotation scheme for protein-protein interaction events, including certainty, manner and direction, their reported corpus only contains one dimension of annotation, i.e., polarity.",NC
"Although several methods have already been proposed to incorporate non-local features (Sutton and McCallum, 2004; Bunescu and Mooney, 2004; Finkel et al., 2005; Roth and Yih, 2005; Krishnan and Manning, 2006; Nakagawa and Matsumoto, 2006), these present a problem that the types of non-local features are somewhat constrained.",NC
"Although some epidemiological studies related MS incidence to birth order and asthma [|B18|,|B19|], other studies found birth order to have no effect on MS risk in most families and having older siblings as not protective against MS [|B20|].",NC
"Current work on citation sentiment detection works under the assumption that the sentiment present in the citation sentence represents the true sentiment of the author towards the cited paper (Athar, 2011; Piao et al., 2007; Pham and Hoffmann, 2004). This assumption is so dominant because current citation identification methods (Councill et al., 2008; Ritchie et al., 2008; Radev et al., 2009) can readily identify the citation sentence, whereas it is much harder to determine the relevant context. However, this assumption most certainly does not hold true when the citation context spans more than one sentence.",CC
"Currently, most of the phrase-based statistical machine translation (PBSMT) models (Marcu and Wong, 2002; Koehn et al., 2003) adopt full matching strategy for phrase translation, which means that a phrase pair (tildewidef,tildewidee) can be used for translating a source phrase f, only if tildewidef = f. Due to lack of generalization ability, the full matching strategy has some limitations.",CC
"Although such approaches have been employed effectively (Pang et al., 2002), there appears to remain considerable room for improvement.",NC
"Although the authors of (Brown et al., 1993) stated that they would discuss the search problem in a follow-up article, so far there have no publications devoted to the decoding issue for statistical machine translation.",NC
"Early experiments with syntactically-informed phrases ( ), and syntactic re-ranking of K-best lists ( ) produced mostly negative results.",CC
Early results using neural nets by Cairns et al. ( ) and Christiansen et al ( ) are discouraging.,CC
"Even though CXCR4 nuclear localization has been described in RCC [ |CR16| ], breast cancer [ |CR10| ], prostate cancer [ |CR15| ], and colon cancer [ |CR29| ], there are debates as to whether this localization is associated with poor prognosis [ |CR12|, |CR29| _ |CR31| ], and the biological function of the subcellular localization of CXCR4 is unclear.",CC
"Although the explanatory relation extraction task has been studied from the view of linguistic and discourse representation by existing works (Carston, 1993; Lascarides and Asher, 1993), the automatic extraction task is still an open question.",NC
"Although the first three are particular cases where N=1 and/or M=1, the distinction is relevant, because most word-based translation models (eg IBM models (Brown et al., 1993)) can typically not accommodate general M-N alignments.",NC
"Although, there are various manual/automatic evaluation methods for these systems, e.g., BLEU (Papineni et al. 2002), these methods are basically incapable of dealing with an MTsystem and a w/p-MT-system at the same time, as they have different output forms.",NC
"Ever since its introduction in general (Cohen, 1960) and in computational linguistics (Carletta, 1996), many researchers have pointed out that there are quite some problems in using (e.g. (Di Eugenio and Glass, 2004)), one of which is",CC
"Among the applications of collocational analysis for lexical acquisition are: the derivation of syntactic disambiguation cues (Basili et al. 1991, 1993a; Hindle and Rooths 1991,1993; Sekine 1992) (Bogges et al. 1992), sense preference (Yarowski 1992), acquisition of selectional restrictions (Basili et al. 1992b, 1993b; Utsuro et al. 1993), lexical preference in generation (Smadjia 1991), word clustering (Pereira 1993; Hindle 1990; Basili et al. 1993c), etc. In the majority of these papers, even though the (precedent or subsequent) statistical processing reduces the number of accidental associations, very large corpora (10,000,000 words) are necessary to obtain reliable data on a ""large enough"" number of words.",NC
"An alternative method (Wu, 1997) makes decisions at the end but has a high computational requirement.",NC
"An approach combining a hand-crafted context-free grammar and stochastic probabilities is pursued in ( ), but it is designed for a restricted domain only.",NC
"An implementation of the extant sdrt (Asher and Lascarides, 2003) glue logic for building discourse structures is insufficient to deal with open domain text,",NC
"An issue with using sentences or zones (Teufel et al., 1999) as the unit of annotation is that a single sentence may express several types of information or rhetorical functions, e.g., both an experimental method and the results of applying this method.",NC
"And third, we provide the first evaluation of a wide-coverage ccg parser outside of CCGbank, obtaining impressive results on DepBank and outperforming the rasp parser ( ) by over 5% overall and on the majority of dependency types.",NC
"Another reduction procedure on network topologies has been studied by Gambette and Huber [49], who prove that if two network topologies reduce to the same topology, then they must display the same tree topologies. Again, this is analogous to, but somehow weaker than our results, since it only provides a sufficient condition for networks to be indistinguishable (which in their context means to display the same tree topologies)",NC
"Another study did not identify opiates consumption as a predictive factor (23) However, the impact of opiates on the gastrointestinal function has been well elucidated (1,32,35) probably making that study underpowered.",NC
"For comparison purposes, we revisit a fully generative Bayesian model for unsupervised coreference resolution recently introduced by Haghighi and Klein (2007), discuss its potential weaknesses and consequently propose three modifications to their model (Section 3).",CC
"Current work on citation sentiment detection works under the assumption that the sentiment present in the citation sentence represents the true sentiment of the author towards the cited paper (Athar, 2011; Piao et al., 2007; Pham and Hoffmann, 2004). This assumption is so dominant because current citation identification methods (Councill et al., 2008; Ritchie et al., 2008; Radev et al., 2009) can readily identify the citation sentence, whereas it is much harder to determine the relevant context. However, this assumption most certainly does not hold true when the citation context spans more than one sentence.",CC
"For comparison purposes, we revisit Haghighi and Kleins (2007) fully-generative Bayesian model for unsupervised coreference resolution, discuss its potential weaknesses and consequently propose three modifications to their model.",CC
Another trial was retracted and so not included (Matsuyama 2005).,CC
"Another well-known way to produce 3D displays is holography [33]. This is an old technique that uses Fourier optics to fully display a 4D LF. However, the technique is limited by the huge amount of computation required to process the data and can only be handled by today?s supercomputers when high resolution is needed.",NC
"For example, it is not easy for us to replicate the bibliometric analysis in de Gouveia and Inglesi-Lotz?s study since the data source and search field used in their study have not been pointed out clearly.",CC
"As can be seen from the following table, both our models clearly outperform Diab ( 2003 ), which is an improvement over Diab and Resnik ( 2002 ), in both accuracy and recall, while the Concept Model does significantly better than the Sense Model with fewer parameters .",NC
"As one can see in Table 4, the resulting parser ranks among the best lexicalized parsers, beating those of Collins (1999) and Charniak and Johnson (2005).8 Its F1 performance is a 27% reduction in error over Matsuzaki et al.",NC
"As opposed to studies in Japanese and Chinese contexts (Taguchi et al. 2009), we did not find a significant link between students' Ought-to L2 self and motivated behavior.",NC
"As opposed to Turney (2002), we do not use the web as a resource to find associations, rather we apply the method directly to in-domain data. This has the disadvantage of not being able to apply the classification to any arbitrary domain.",NC
"As the tagger of Ratnaparkhi (1996) cannot tag a word lattice, we cannot back off to this tagging.",NC
"For implicit citation extraction, Kaplan et al. (2009) explore co-reference chains for citation extraction using a combination of co-reference resolution techniques. However, their corpus consists of only 94 sentences of citations to 4 papers which is likely to be too small to be representative",CC
"As we will see, this combined model finds correct dependencies more successfully than the model above, and finds constituents more successfully than the model of Klein and Manning ( 2002 ) .",NC
"At any rate, regularized conditional loglinear models have not previously been applied to the problem of producing a high quality part-of-speech tagger: Ratnaparkhi (1996), Toutanova and Manning (2000), and Collins (2002) all present unregularized models.",NC
"At the same time, representations such as FunQL (Kate et al., 2005), which was used in Clarke et al. (2010), are simpler but lack the full expressive power of lambda calculus.",NC
"At the same time, we believe our method has advantages over the approach developed initially at IBM (Brown et al. 1990; Brown et al. 1993) for training translation systems automatically.",NC
"Automatic evaluation methods such as BLEU (Papineni et al., 2002), RED (Akiba et al., 2001), or the weighted N-gram model proposed here may be more consistent in judging quality as compared to human evaluators, but human judgments remain the only criteria for metaevaluating the automatic methods.",NC
